phase profile err
1.44921875 15.0 3.872983346207417
1.45703125 8.0 2.8284271247461903
1.46484375 15.0 3.872983346207417
1.47265625 17.0 4.123105625617661
1.48046875 17.0 4.123105625617661
1.48828125 19.0 4.358898943540674
1.49609375 16.0 4.0
1.50390625 13.0 3.605551275463989
1.51171875 18.0 4.242640687119285
1.51953125 22.0 4.69041575982343
1.52734375 18.0 4.242640687119285
1.53515625 15.0 3.872983346207417
1.54296875 20.0 4.47213595499958
1.55078125 18.0 4.242640687119285
1.55859375 20.0 4.47213595499958
1.56640625 12.0 3.4641016151377544
1.57421875 12.0 3.4641016151377544
1.58203125 14.0 3.7416573867739413
1.58984375 11.0 3.3166247903554
1.59765625 7.0 2.6457513110645907
1.60546875 14.0 3.7416573867739413
1.61328125 18.0 4.242640687119285
1.62109375 19.0 4.358898943540674
1.62890625 18.0 4.242640687119285
1.63671875 20.0 4.47213595499958
1.64453125 10.0 3.1622776601683795
1.65234375 18.0 4.242640687119285
1.66015625 18.0 4.242640687119285
1.66796875 11.0 3.3166247903554
1.67578125 11.0 3.3166247903554
1.68359375 11.0 3.3166247903554
1.69140625 16.0 4.0
1.69921875 15.0 3.872983346207417
1.70703125 14.0 3.7416573867739413
1.71484375 5.0 2.23606797749979
1.72265625 0.0 0.0
1.73046875 0.0 0.0
1.73828125 0.0 0.0
1.74609375 0.0 0.0
1.75390625 0.0 0.0
1.76171875 0.0 0.0
1.76953125 0.0 0.0
1.77734375 0.0 0.0
1.78515625 0.0 0.0
1.79296875 0.0 0.0
1.80078125 0.0 0.0
1.80859375 0.0 0.0
1.81640625 0.0 0.0
1.82421875 0.0 0.0
1.83203125 0.0 0.0
1.83984375 0.0 0.0
1.84765625 0.0 0.0
1.85546875 0.0 0.0
1.86328125 0.0 0.0
1.87109375 0.0 0.0
1.87890625 0.0 0.0
1.88671875 0.0 0.0
1.89453125 0.0 0.0
1.90234375 0.0 0.0
1.91015625 0.0 0.0
1.91796875 0.0 0.0
1.92578125 0.0 0.0
1.93359375 0.0 0.0
1.94140625 0.0 0.0
1.94921875 0.0 0.0
1.95703125 0.0 0.0
1.96484375 0.0 0.0
1.97265625 0.0 0.0
1.98046875 0.0 0.0
1.98828125 0.0 0.0
1.99609375 0.0 0.0
