OBSERVATION.OBSERVATION_ID,OBSERVATION.TARGET,OBSERVATION.RA_NOM,OBSERVATION.DEC_NOM,OBSERVATION.REVOLUTION,OBSERVATION.START_UTC,OBSERVATION.END_UTC,OBSERVATION.DURATION,TARGET_TYPE.DESCRIPTION,PROPOSAL.PI_SURNAME,PROPOSAL.TYPE,OBSERVATION.PROPRIETARY_END_DATE,OBSERVATION.PPS_VERSION,OBSERVATION.COORD_OBS
862181601,BAT 1366,10 06 39.59,-85 22 44.4,3880,2021-02-14 18:25:21.000,2021-02-14 23:25:21.000,18000,AGN UNCLASSIFIED,Koss,GO,2022-03-03 00:00:00.000,18.02_20200221_1200,
862220201,OPHIUCHUS_OFF2,17 14 52.70,-23 43 08.0,3896,2021-03-18 23:00:07.000,2021-03-19 08:10:07.000,33000,CLUSTER OF GALAXIES (NON-ABELL) WITH COOLING FLOW,Markevitch,GO,2022-04-15 00:00:00.000,19.16_20210326_1200,
862260301,IC 2476,09 27 43.95,+29 57 55.5,3920,2021-05-04 21:24:56.000,2021-05-05 21:47:34.000,87758,GROUP OF GALAXIES,Liu,GO,2022-05-30 00:00:00.000,19.16_20210326_1200,
862260501,IC 2476,09 27 43.95,+29 57 55.5,3920,2021-05-04 20:06:40.000,2021-05-04 21:24:56.000,4696,GROUP OF GALAXIES,Liu,GO,2022-05-30 00:00:00.000,19.16_20210326_1200,
862330401,BZQ J1215+6422,12 15 48.89,+64 22 28.4,3910,2021-04-14 22:30:26.000,2021-04-15 05:37:06.000,25600,QSO RADIO LOUD FLAT RADIO SP,Marcotulli,GO,2022-05-17 00:00:00.000,19.16_20210326_1200,
862330601,BZQ J2042-2223,20 42 57.28,-22 23 26.9,3916,2021-04-28 05:05:05.000,2021-04-28 11:11:45.000,22000,QSO RADIO LOUD FLAT RADIO SP,Marcotulli,GO,2022-05-26 00:00:00.000,19.16_20210326_1200,
862410301,IGR J11215-5952,11 21 46.79,-59 51 46.8,3870,2021-01-25 22:48:14.000,2021-01-26 05:11:34.000,23000,HMXRB X-RAY PULSAR FLARES,Bozzo,Fulfill,2022-02-08 00:00:00.000,18.02_20200221_1200,
862520101,eps Oct,22 20 01.66,-80 26 23.0,3906,2021-04-08 06:15:09.000,2021-04-08 11:48:29.000,20000,STAR M5III,Sahai,GO,2022-05-04 00:00:00.000,19.16_20210326_1200,
862520701,TW Hor,03 12 33.16,-57 19 17.6,3910,2021-04-15 21:45:58.000,2021-04-16 01:55:58.000,15000,STAR M5III,Sahai,GO,2022-05-17 00:00:00.000,19.16_20210326_1200,
862560101,J1641+3755,16 41 21.73,+37 55 20.1,3874,2021-02-02 04:14:10.000,2021-02-03 09:40:50.000,106000,QSO RADIO QUIET TYPE 1,Vito,GO,2022-02-15 00:00:00.000,18.02_20200221_1200,
862770201,WISEA J045649.8-2037,04 56 49.76,-20 37 49.0,3900,2021-03-27 03:11:36.000,2021-03-27 06:28:16.000,11800,NON-ACTIVE GALAXY,Krumpe,Target-Opportunity,2022-04-30 00:00:00.000,19.16_20210326_1200,VLT
862770301,WISEA J181036.03-81,18 10 35.89,-81 20 23.1,3971,2021-08-15 00:02:53.000,2021-08-15 02:49:33.000,10000,SEYFERT RADIO QUIET TYPE 1.5,Krumpe,Target-Opportunity,2022-09-21 00:00:00.000,19.16_20210326_1200,VLT
862770401,SDSS J145453.53+0324,14 54 53.53,+03 24 56.9,3972,2021-08-16 23:56:37.000,2021-08-17 03:49:57.000,14000,SEYFERT RADIO QUIET TYPE 1.5,Krumpe,Target-Opportunity,2022-08-31 00:00:00.000,19.16_20210326_1200,VLT
862770501,LCRS B040659.9-38592,04 08 46.10,-38 51 31.0,3974,2021-08-21 19:58:18.000,2021-08-22 03:18:18.000,26400,SEYFERT RADIO QUIET TYPE 1.5,Krumpe,Target-Opportunity,2022-09-22 00:00:00.000,19.16_20210326_1200,VLT
862770701,6dFGS gJ041338.1-215,04 13 38.08,-21 52 04.8,3893,2021-03-12 09:09:16.000,2021-03-13 02:39:16.000,63000,SEYFERT RADIO QUIET TYPE 1.5,Krumpe,Target-Opportunity,2022-04-12 00:00:00.000,19.16_20210326_1200,VLT
862770801,SDSS J080243.40+3104,08 02 43.39,+31 04 03.3,3917,2021-04-29 05:25:18.000,2021-04-29 20:50:18.000,55500,SEYFERT RADIO QUIET TYPE 1.5,Krumpe,Target-Opportunity,2022-05-26 00:00:00.000,19.16_20210326_1200,VLT
862840401,HD 198269,20 48 36.70,+17 50 23.7,3913,2021-04-21 22:51:07.000,2021-04-22 11:37:47.000,46000,CV,Maccarone,GO,2022-05-21 00:00:00.000,19.16_20210326_1200,
